,CV,Roles,Other Roles
151,Shiraishi Ryōko,"Cliffheart, Fang","Chouchou Akimichi (Boruto), Fuu/Matatabi (Naruto), Rem Tokimiya (Final Fantasy Type-0), Asuka Kazama (Tekken), Jude Maxwell (Wild Arms IV), Elliot Craig (The Legend of Heroes: Trails of Cold Steel), Macaron (Amagi Brilliant Park), Spider Demon Daughter (Demon Slayer: Kimetsu no Yaiba), Schrödinger (Hellsing Ultimate), Hime ""Onihime"" Onizuka (Sket Dance), Naga (Beelzebub), Societte (Granblue Fantasy), Hayate Ayasaki (Hayate the Combat Butler: Can't Take My Eyes Off You), Alexandra Trese (Trese), Arlan (Honkai Star Rail)"
152,Shirasu Saho,Astgenne,"Mio Kofune (Summer Time Rendering), Hannah (Neural Cloud)"
153,Sonozaki Mie,FEater,"Jeanne (Bayonetta), Sen no Rikyu (Fate Grand Order), Sora Shiun'in (Yu-Gi-Oh! Arc-V), Cynthia (Pokemon Masters), Moira (Overwatch, Japanese voice), Ilsa (Granblue Fantasy), Ashelia B'nargin Dalmasca (Final Fantasy XII), Turing (Neural Cloud)"
154,Sugiura Shiori,Vanilla,"Sweep Tosho (Uma Musume: Pretty Derby), Ririka Kenzaki (Liz and the Blue Bird)"
155,Sugiyama Riho,Pinecone,"Diana (Brave Frontier ReXona), Aleis (Granblue Fantasy), Male Blaze Wizard (Maplestory), Henrietta Penrose (86)"
156,Suwa Ayaka,"Cuora, Gavial, Gavial the Invincible, Manticore","Matsuri Tokugawa (The IDOLM@STER Million Live!), Elise (Fire Emblem Fates), A2 (NieR: Automata), Negev (Girls' Frontline), Alex (Dragalia Lost), Touka (Assassination Classroom), Chris/Eris (Konosuba), Eltendiska (Log Horizon)"
157,Suwabe Junichi,Mr. Nothing,"Archer/Emiya (Fate/stay night), Siegfried (Fate/apocrypha), World End (Servamp), Theodore (Persona 3 Portable), Relius Clover (BlazBlue series), Shopkeeper (Spy x Family), Ran Nagisa (Ensemble Stars), Yami Sukehiro (Black Clover), Ryoumen Sukuna (Jujutsu Kaisen), Keigo Atobe (Prince of Tennis), Karte (Gran Saga), Grimmjow Jaegerjaquez (Bleach), Siatrich Wynknight (The Reason Why Raeliana Ended Up at the Duke's Mansion), Naveed (Dragalia Lost), Terence D'Arby (JoJo's Bizarre Adventure: Stardust Crusaders), Ren Nekoyashiki (Rental Magica), Leone Abbacchio (JoJo's Bizarre Adventure: Golden Wind), McBurn (The Legend of Heroes: Trails of Cold Steel), Lars Alexandersson (Tekken), Ren Jinguuji (Uta no Prince-sama), Seofon/Siete (Granblue Fantasy), Daiki Aomine (Kuroko no Basket), Undertaker (Black Butler), Dark Choco Cookie (Cookie Run: Kingdom), Tseng (Final Fantasy VII Remake), Claude (Another Eden), Seymour Guado (Final Fantasy X and X-2), Artem Wing/Shizuma Saikyou/Baek Eunhoo/Zuo Ran (Tears of Themis), Warrior of Darkness/Ardbert (Final Fantasy XIV), Victor Valentine (Helios Rising Heroes), Chronos (Tales Of Xillia 2), Urias (Shadowverse)"
158,Suzuki Chihiro,Steward,"Wu Kong (Dragalia Lost), Soichiro Arima (KareKano), Elfen Lied (Kouta), Agnes Berge (Super Robot Wars UX), T'nique Arcana (Star Ocean: First Departure), Shigino Kisumi (Free!), Luke fon Fabre/Asch the Bloody (Tales of the Abyss)"
159,Suzuki Minori,Sora,"Freyja Wion (Macross Delta), Sagiri/Amagiri (Kantai Collection), Agnes Digital (Uma Musume: Pretty Derby), Ena Shinonome (Project Sekai)"
160,Suzuki Tatsuhisa,Aosta,"Makoto Tachibana (Free!), Hiroomi Nase (Beyond the Boundary), Noctis Lucis Caelum (Final Fantasy XV), Aegis Alver (Tales of Crestoria), Prai, Nero (Another Eden), Ranmaru Kurosaki (Uta no Prince Sama), Alphonse (Fire Emblem Heroes), Hiromasa (Onmyouji), Eve (NieR Automata), Aymeric de Borel (Final Fantasy XIV), Aglovale, Helnar (Granblue Fantasy), Tsubaki (Servamp), Soichi Takeda (The Idolmaster Dearly Stars), Shiva (Record of Ragnarok), Yuuji Sakamoto (Baka & Test), Ban (Seven Deadly Sins)"
161,Suzushiro Sayumi,Jackie,"Uruka Takemoto (We Never Learn), Wise (Okaasan Online), Akira Ono (Hi-score Girl), Kei Shirogane (Kaguya-sama wa Kokurasetai), Nijika Ichiji (Bocchi the Rock!)"
162,Tachibana Hina,Pudding,"Nagi Hisakawa (The Idolmaster Cinderella Girls), Satono Diamond (Uma Musume: Pretty Derby)"
163,Tachibana Rika,"Gravel, Plume","Super SASS, MK48 (Girls' Frontline), Yuisis (Granblue Fantasy), Kyaru/Karyl (Princess Connect! Re:Dive), Little Red Riding Hood (SiNoAlice), Lucia (Street Fighter V), Opeth (Gran Saga), Rinne (Alchemy Stars), Ruin Ate (Saint Seiya: Saintia Sho), Sae Kobayakawa (The IDOLM@STER Cinderella Girls)"
164,Tachibana Shinnosuke,Shalem,"Yukito Orikasa (IDOLiSH7), Tomoe (Kamisama Kiss), Alphinaud Leveilleur (Final Fantasy XIV), Ramza Beoulve (Final Fantasy Tactics), Lance (Brave Frontier ReXona), Arch (King's Raid), Vic (Alchemy Stars), Howard Link (D-Gray Man (2016)), Lan Wangji (Mo Dao Zu Shi/The Untamed), Kristoff (Valkyrie Profile: Covenant of the Plume), Hailak (Granblue Fantasy), Laphlaes Selkena (Lord of Heroes), Sylvano (Gran Saga), Shuuya Kano (Mekakucity Actors), Morisuke Yaku (Haikyuu!!), Jusis Albarea (The Legend of Heroes: Trails of Cold Steel)"
165,Tadokoro Azusa,"Kroos, Kroos the Keen Glint, Texas, Texas the Omertosa","Aoi Kiriya (Aikatsu!), Luciula Marlborough (Violet Evergarden), Shizuka Mogami (The IDOLM@STER), Princess Bari (Gran Saga), Moroha (Yashahime: Princess Half-Demon), Kaoru Seta (BanG Dream!), Chtholly Nota Seniorious (WorldEnd/SukaSuka), Galmieux (Shadowverse)"
166,Taichi Yō,"Deepcolor, Scavenger","Takeo Kamado (Demon Slayer: Kimetsu no Yaiba), IJN Ayanami (Azur Lane), Sandalphon (Dragalia Lost), Hephaestion/Faker (Fate series), Hiro Soma (Fruits Basket (2019)), Emperor (Akame ga Kill!), Pinecone Cookie (Cookie Run: Kingdom)"
167,Takahashi Mikako,Tomimi,"Ayumu Nishizawa (Hayate the Combat Butler!), Hotogi Shirayuki (Aria the Scarlet Ammo), Maria Theresa (Granblue Fantasy), Adelicia Lenn Mathers (Rental Magica), Ayumi Yamada (Honey & Clover), Sadaharu (Gintama), Satsuki Sohma (Fruits Basket (2019)), Chrono Harlaown (Magical Girl Lyrical Nanoha series), Heart Aino (Arcana Heart), Reverie Metherlence ('Elemental Gelade')"
168,Takahashi Minami,Whislash,"Konomi Baba (The IDOLM@STER Million Live!), Megumi Tadokoro (Shokugeki no Souma), Pieri (Fire Emblem Fates), Diola (Granblue Fantasy), Rachel (Legend of Mana: The Teardrop Crystal), Kayo Ennoshita (Uramichi Oniisan), El Condor Pasa (Uma Musume Pretty Derby), Shea Haulia (Arifureta: From Commonplace to World's Strongest), Elf Yamada (Eromanga Sensei)"
169,Takahashi Rie,"Nightmare, Perfumer","Mash Kyrielight (Fate/Grand Order), Megumin (Konosuba), Takagi (Teasing Master Takagi-san), Emilia (Re:Zero), Kaoru Kamiya (Rurouni Kenshin (2023)), Ilia (Dragalia Lost), Fjorm (Fire Emblem Heroes), Sumi Sakurasawa (Kanojo, Okarishimasu), Hu Tao (Genshin Impact), Ena Saitou (Laid-Back Camp), Stella (Beast Tamer)"
170,Takamori Natsumi,"Gummy, Mousse","Subaru (Wish Upon the Pleiades), Miku Maekawa (The iDOLM@STER Cinderella Girls series), Z1, Yūdachi (Azur Lane), Biino Bandoh (Amagi Brilliant Park), Aliza (Granblue Fantasy), Shimura Shinpachi (Gintama), Sarah Danes (Code Geass), Mei Misaki (Another), Goldmary (Fire Emblem Engage), Sona Sitri (High School DxD)"
171,Takano Asami,Quercus,"Frederica Miyamoto (The iDOLM@STER Cinderella Girls), Misa Toudou (Shirobako)"
172,Takanashi Kengo,Puzzle,"Ciaran (Final Fantasy Crystal Chronicles & Dissidia Opera Omnia), Link (Legend of Zelda: Breath of the Wild & Super Smash Bros Ultimate), Fujita (Dorohedoro), Yamanbagiri Chougi (Touken Ranbu), Haruto Amou (Shichisei no Subaru), Hajime Nishikawa (Gin no Saji), Nelson (The King of Fighters XIV), Emmanellain de Fortemps (Final Fantasy XIV)"
173,Taketatsu Ayana,W,"Azusa Nakano (K-On!), Yamato (Kantai Collection), Labrys (Persona 4 Arena), Natalie (Dragalia Lost), Sachiko Koshimizu (The Idolmaster Cinderella Girls), Nuwa (Shin Megami Tensei V), Altena (Another Eden), Bambietta (Bleach: Thousand Year Blood War), Kotori Itsuka (Date A Live), Cupitan (Granblue Fantasy), Kirino Kousaka (Oreimo), Shirley Orlando (The Legend of Heroes: Trails to Azure/Trails of Cold Steel), Suguha Kirigaya/Leafa (Sword Art Online), Nino Nakano (The Quintessential Quintuplets), Misora Kano (Shoujo Kageki Revue Starlight: RE LIVE)"
174,Takeuchi Shunsuke,Matterhorn,"Producer (The iDOLM@STER Cinderella Girls), Chiron (Fate series), Seth (Bravely Default 2), Barawa (Granblue Fantasy), Valyx (Dragalia Lost), Graff (Mobius Final Fantasy), Askin Nakk Le Vaar (Bleach Thousand Year Blood War), ViA (Megaman X Dive), Ain (Elsword), Jamie (Street Fighter VI), Daisuke Jigen (Lupin Zero), Purple Yam Cookie, Cream Unicorn Cookie (Cookie Run: Kingdom), Sherid Asveri (Legend of Heroes: Kuro no Kiseki), Barton (Alchemy Stars), Dvalin/Stormterror (Genshin Impact), Murakumo (Rune Factory 5), Ryoken Kogami/Revolver (Yu-Gi-Oh! VRAINS)"
175,Tanaka Minami,April,"Nitocris, Ortlinde (Fate Grand Order), Estelle (Dragalia Lost), Hana N. Fountainstand (HaNaYaMaTa), Hinata Okano (Assassination Classroom), Mary Saotome (Kakegurui), Minami Katayama (Wake Up, Girls!), Nanami (Punishing: Gray Raven), Linaria (Granblue Fantasy), Satsuki Yumizuka (Tsukihime (2021)), Lily Hoshikawa (Zombieland Saga), Sora (Beast Tamer)"
176,Taneda Risa,"Eyjafjalla, Meteorite","Mash Kyrielight (formerly), Marie Antoinette (Fate/Grand Order), Erina Nakiri (Shokugeki no Soma), Riveria Ljos Alf (formerly) (Danmachi), Kaori Miyazono (Your Lie in April), Xenovia Quarta (High School DxD), Mirai Kuriyama (Beyond the Boundary), Ai Mizuno (Zombieland Saga), Chika (Log Horizon), Queen (No Game No Life), Rize Tedeza (Is The Order A Rabbit?), M1 Garand, MG3, Thompson (Girls' Frontline), Several characters in Kantai Collection, notably Haguro and Nachi, D.Va (Overwatch, Japanese voice)"
177,Tanezaki Atsumi,"Blue Poison, Dobermann","Emilia Kishitani (Durarara! series), Sayuri Hanayori (Owari no Seraph), Touma (Noragami), Anya Forger (Spy x Family), Avery (Gran Saga), Maira Sakuranomiya (Blend S), Ophelia Pharmsolone (Fate Grand Order), Chise Hatori (The Ancient Magus' Bride), Lily (NieR:Automata Ver1.1a), Ethel (Xenoblade Chronicles 3), Black Pearl Cookie (Cookie Run: Kingdom), Vikala (Granblue Fantasy), Kyoko Igarashi (The IDOLM@STER Cinderella Girls), Juno (Beastars), Orisa (Overwatch, Japanese voice), Beryl (Alchemy Stars), Meteion (Final Fantasy XIV: Endwalker)"
178,Terashima Takuma,Stainless,"Ittoki Otoya (Uta no Prince-Sama), Touma Amagase (The IDOLM@STER SideM), Shiroe (Log Horizon), Roland, Angra Mainyu (Fate series), Cain (Granblue Fantasy), Snake (Black Butler), Tatara (Sousei no Onmyouji), Ancel (Valkyrie Profile: Covenant of the Plume), Ultraman Taiga (Ultraman Taiga), Shiki Granbell (Edens Zero), Satoru Mikami (That Time I Got Reincarnated as a Slime), Lyle Collodi (Honkai Impact 3rd), Mahiru Shirota (Servamp)"
179,Terui Haruka,Sussurro,"Mei Higurashi (Yashahime: Princess Half-Demon), Momoka Sakurai (The IDOLM@STER Cinderella Girls), Mileena Weiss (Tales of the Rays), Yuna Yuki (Yuki Yuna is a Hero), Kobeni Yonomori (Mikakunin de Shinkoukei), Shania Reid; later Consul/Moebius S (Xenoblade Chronicles 3), Lila Decyrus (Atelier Ryza)"
180,Tokui Sora,Swire,"Nero Yuzurizaki (Milky Holmes), Nico Yazawa (Love Live!), Halpeti (Gran Saga), Hideri Kanzaki (Blend S), Tenko Chabashira (Danganronpa V3)"
181,Tomatsu Haruka,Saileach,"Zero Two (Darling in the FranXX), Minamoto no Raikou (Fate Grand Order), Aphmau (Final Fantasy XI), M4A1 / WA2000 (Girls Frontline), Asuna Yuuki (Sword Art Online), Xuan Zang (Dragalia Lost), Luciel (Gran Saga), Morgiana (Magi: The Labyrinth of Magic), Aoko Aozaki (Mahoutsukai no Yoru and Melty Blood: Type Lumina), Kiyoko Hori (Horimiya), Feena (Granblue Fantasy), Eina Tulle (Danmachi), Haru Okumura (Persona 5)"
182,Tomita Miyu,Kafka,"Gabriel White Tenma (Gabriel Dropout), Yume Nijino (Aikatsu Stars!), Akira Sunazuka (The Idolmaster Cinderella Girls), Shez (female) (Fire Emblem Three Hopes), Chloe (Granblue Fantasy), Lalafin Nonomiya (Shoujo Kageki Revue Starlight: RE LIVE), Rizu Ogata (We Never Learn), Miko Iino (Kaguya-sama wa Kokurasetai), Riko (Made in Abyss), Chuatury Panlunch (Mobile Suit Gundam: The Witch from Mercury), Layla (Genshin Impact)"
183,Toriumi Kōsuke,Broca,"Kiyoomi Sakusa (Haikyuu!!), Yuri (Arte), Yuri Lowell (Tales of Vesperia), Acnologia (Fairy Tail), Kiyotaka Ishimaru (Danganronpa : Trigger Happy Havoc), Robin Hood, Asterius (Fate series), Himuro Saeki (Hayate no Gotoku), Saitou Hajime (Hakuoki series), Kurotabo (Nurarihyon no Mago), Salaryman (Youjo Senki), Ewan/Yuin (Another Eden), Hector, Bramimond, Narcian (Fire Emblem series), Brock (Pokemon Masters), Kei (Gran Saga), Madara Mikejima (Ensemble Stars), Junpei Iori (Persona 3), Eikichi Mishina (Persona 2), Hong Yun-seong (Soul Calibur series), Shio Takahata (Tokyo Xanadu eX+), Rufus Wilde (Grand Chase for Kakao), Hayate (Pretear), Cecile Aijima (Uta no Prince-sama), Isaac (Granblue Fantasy), Zenos yae Galvus (Final Fantasy XIV), Flashy Flash (One Punch Man series), Kaeya (Genshin Impact), Guido Mista (Jojo's Bizarre Adventure: Golden Wind), Mikazuki Munechika (Touken Ranbu), Kiba Inuzuka (Naruto), Ryo Aoki (Yakuza: Like a Dragon)"
184,Toyoguchi Megumi,Horn,"Hikari / Dawn (Pokémon), Rebecca ""Revy"" Lee (Black Lagoon), Haruka (Senran Kagura), Aqua (Kingdom Hearts series), Paine (Final Fantasy X-2), Saya Minatsuki (Black Cat), Mezrael (Gran Saga), Kid (Chrono Cross for Another Eden Collaboration event), Voice of The World, Great Sage, Raphael (That Time I Got Reincarnated as a Slime), Sola-Ui Nuada Re-Sophia-Ri (Fate/Zero), Sara Valestein (The Legend of Heroes: Trails of Cold Steel), Winry Rockbell (Fullmetal Alchemist), Karina, Xania (Dragalia Lost), Kirino Chiba (Bamboo Blade), Chifuyu Orimura(Infinite Stratos), Yukari Takeba (Persona 3), Junko Enoshima (Danganronpa)"
185,Toyosaki Aki,Bagpipe,"Momo Deviluke (To Love Ru), Yunyun (Konosuba), Fig Cookie (Cookie Run: Kingdom), Ristarte (Cautious Hero), Caroline, Justine (Persona 5), Ramona (Dragalia Lost), Manaka Sajyou, Beast of 666 (Fate/prototype), Uiharu Kazari (Toaru Kagaku no Railgun), Suomi (Girls' Frontline), Yui Hirasawa (K-On!), Aoi Kunieda (Beelzebub)"
186,Uchida Maaya,Mudrock,"Melty Melromarc (The Rising of the Shield Hero), Sharo Kirima (Is The Order A Rabbit?), Ranko Kanzaki (The IDOLM@STER Cinderella Girls), Shizuna Rem Misurugi (The Legend of Heroes: Kuro no Kiseki), Sharena (Fire Emblem Heroes), Iki Hiyori (Noragami), Veronica (Dragon Quest XI), Serena, Annelie (Dragalia Lost), Futaba Yoshioka (Ao Haru Ride), Zero (Drakengard 3), Sanka Rea (Sankarea), Pollux (Fate Grand Order), Pure Vanilla Cookie (Cookie Run: Kingdom), Pholia (Granblue Fantasy), Ysayle Dangoulaine, Shiva (Final Fantasy XIV), Rikka Takanashi (Love, Chunibyo & Other Delusions), Catarina Claes (My Next Life as a Villainess: All Routes Lead to Doom!), Fischl (Genshin Impact), CZ-805 (Girls' Frontline)"
187,Uchiyama Yumi,Akafuyu,"Puck (Re:Zero- Starting Life in Another World), Ophelia (Servamp), Mare Belle Fiore (Overlord), Rudeus Greyrat (Mushoku Tensei), Cleo (Dragalia Lost), Arrow (Fire Force), Candice Catnipp (Bleach Thousand Year Blood War), Elizabeth (Vivy: Fluorite Eye's Song), Chiba Erika (The Irregular at Magic High School), Natasha (Honkai Star Rail)"
188,Ueda Hikaru,Podenco,"Louisa May Alcott (Bungou Stray Dogs Season 2), Shenmei Liu (Kuromukuro), Suelle Malen (Atelier Lydie and Suelle)"
189,Ueda Hitomi,Ashlock,"Gold Ship (Uma Musume Pretty Derby), Ryszarda (Dragalia Lost), Leyli Haltija (Warlords of Sigrdrifa)"
190,Ueda Kana,Skyfire,"Rachel Alucard (BlazBlue), Pascal (Tales of Graces), Ishtar, Ereshkigal (Fate Grand Order), Hayate Yagami (Magical Girl Lyrical Nanoha series), Kohaku (Tsukihime), Luna Platz (Megaman Star Force), Sakuya Aizawa (Hayate no Gotoku), Undine (Black Clover), Nadine, Nikitis (Alchemy Stars), Innkeeper Lorraine (Guardian Tales), Yuel (Granblue Fantasy), Erys Jerand (Star Ocean: The First Departure), Ibuki (Street Fighter V), Ezelith, Althemia (Dragalia Lost), Yuel (Granblue Fantasy), Rin Tōsaka (Fate series), IF (Neptunia series), Honami Takase Ambler (Rental Magica), Yoimiya (Genshin Impact), Light Halo (Uma Musume Pretty Derby)"
191,Ueda Reina,Rosa,"Gray (The Case Files of Lord El-Melloi and Fate/Grand Order), Seraphine (League of Legends), Nina Fenly (Legend of Heroes: Kuro no Kiseki), Kikuri (Brave Frontier ReXona), RiCO,iCO (Rockman x Dive), Pengy (Granblue Fantasy), Naru Sekiya (HaNaYaMaTa), Elizabeth Ashley (The Saint Magic Power is Omnipotent), Hemimorphite (Land of the Lustrous), Akane Shinjo (SSSS.GRIDMAN), Kanao Tsuyuri (Demon Slayer: Kimetsu no Yaiba), Ganyu (Genshin Impact), Miyako Hoshino (Wataten), Aoi (Dragalia Lost), Umi Kousaka (THE IDOLM@STER Cinderella Girls), Honami Mochizuki (Project Sekai)"
192,Yaguchi Asami,Pith,"Sakata Gintoki (young) (Gintama), Kuchipatchi (Tamagotchi), Sawyer (Black Lagoon), Katina Tarask (Super Robot Wars OG), Eleonore von Wittenburg (Dies Irae)"
193,Yahagi Sayuri,Cutter,"Michiru Hyodo (Saekano), Karin (Karin Maaka), Haruna Sairenji (To LOVE Ru), Manami Okuda (Assassination Classroom), Sakuya (Sword Art Online)"
194,Yamamoto Nozomi,Estelle,"Rika Jougasaki (The IDOLM@STER Cinderella Girls), Yukimura Kusunoki (Haganai), I-402 (Arpeggio of Blue Steel)"
195,Yamamura Hibiku,Flint,"Haruna (Arpeggio of Blue Steel), Px4 Storm (Girls' Frontline), Rinea (Fire Emblem Heroes), Hazuki Nanakusa (The Idolmaster Shiny Colors), Lola Jornaus (Star Ocean: The Divine Force), Nanami Kuon (Paripi Koumei), Faria (Seven Knights Revolution: Successor of the Heroes), Leona (Granblue Fantasy), Asuramaru (Seraph of The End)"
196,Yamaoka Yuri,Conviction,"KMS Admiral Hipper (Azur Lane), Ai Shindou (Beyond the Boundary), Beelzebub (Umineko no Naku Koro ni)"
197,Yamazaki Haruka,Grani,"Mirai Kasuga (The IDOLM@STER Million Live!), Herta (Honkai Star Rail)"
198,Yashiro Taku,Windflit,"Natsuo Fujii (Domestic Girlfriend), Su Fang (Dragalia Lost), Zero Zephyrum (Grand Chase: Dimensional Wars), Jude (The Saint Magic Power is Omnipotent), Ephraim (Fire Emblem Heroes), Tsubasa Kashiwagi (The Idolmaster SideM), Magnai Oronir (Final Fantasy XIV), Hirokazu Arai (Chainsaw Man), Aogu Shiji (Kakushigoto), Terry (Rune Factory 5), Tatsuhisa Kamijo (Yu☆Gi☆Oh!: Sevens), Haruhi Teramitsu (B-PROJECT)"
199,Yasumoto Hiroki,Czerny,"Yasutora ""Chad"" Sado (Bleach), Germany (Hetalia), Raubahn Aldynn (Final Fantasy XIV), Tea Knight Cookie (Cookie Run: Kingdom), Carlos Oliveira (Resident Evil 3 (2020 remake)), Agravain (Fate Grand Order), Victor S. Arseid (Legend of Heroes: Trails of Cold Steel), Berserker (Dragalia Lost), Wyn (Gran Saga), Orwin Granberg (Tales of Crestoria), Agil (Sword Art Online), Hoozuki (Hoozuki no Reitetsu), Guile (Street Fighter), Nekomaru Nidai (Super Danganronpa 2), Asura (Asura's Wrath), Pod 042 (NieR: Automata), Svarog (Honkai Star Rail)"
200,Yasuno Kiyono,Hoshiguma,"Nejire Hado (My Hero Academia), Baretta (Lord of Heroes), Pamela (Granblue Fantasy), Ramael (Gran Saga), Witch Regret (Edens Zero), Charmy Pappitson (Black Clover), Megumi Kato (Saekano)"
201,Yokote Kumiko,Indigo,"Noel K. Ehrlichkeit (Magical Girl Lyrical Nanoha), Montblanc (Final Fantasy Tactics Advance Radio), Eru (Shugo Chara series), Omi Takahata (Saya no Uta), Narukami (Kamisama Kiss)"
202,Yonezawa Madoka,Proviso,"Ferry (Granblue Fantasy), Nona (Another Eden), Olga Marie Animusphere, Alien God (Fate/Grand Order and The Case Files of Lord El Melloi), Odetta (Dragalia Lost), Ui Hirasawa (K-On! The Movie)"
203,Yoshino Hiroyuki,Ethan,"Kai Miyagusuku (Blood+), Hoka Inumuta (Kill la Kill), Favaro (Rage of Bahamut), Ragazzo (Granblue Fantasy), Avan Hardins (Valkyria Chronicle II), Okada Izo (Fate Grand Order), Yaten (Dragalia Lost), Ningen Mukotsu (Touken Ranbu), Solf J Kimblee (Fullmetal Alchemist: Brotherhood), Firo Prochainezo (Baccano!), Yusuke ""Bossun"" Fujisaki (Sket Dance), Hajime Iwaizumi (Haikyuu!!), Franky Franklin (Spy x Family)"
204,Yoshioka Mayu,Utage,"Mayu Shimada (Wake Up, Girls!), Haru Kiritani (Project Sekai)"
205,Yukana,Dusk,"C.C. (Code Geass), Tear Grants (Tales of the Abyss'), Harle (Chrono Cross for Another Eden collaboration event), Rinslet Walker (Black Cat), Hades Izanami (Blazblue series), Tessa (Full Metal Panic), Sharon Kruger (The Legend of Heroes: Trails of Cold Steel), Meiling Li (Cardcaptor Sakura), Notte, Meene, Nefaria (Dragalia Lost), Niyon (Granblue Fantasy), Cecilia Alcott (Infinite Stratos), Kanna (InuYasha), Katsushika Hokusai (Fate/Grand Order), Rise (Neural Cloud), Himari Akeboshi (Blue Archive)"
206,Yūki Aoi,"Earthspirit, Istina, Nian","Madoka Kaname (Puella Magi Madoka Magica), Tanya von Degurechaff (Youjo Senki), Eevee (Pokémon), Sakura (Final Fantasy Brave Exvius), Kumoko/Shiraori (I'm A Spider So What?), Platinum The Trinity (Blazblue series), Futaba Sakura (Persona 5), Renne Bright (Legend of Heroes Trails series), Melissa (Another Eden), Windblade (Transformers: Cyberverse), Anila (Granblue Fantasy), Lysithea (Fire Emblem Three Houses & Three Hopes), Quyi (Gran Saga), Emma (Dragalia Lost), Ko Sakuragi (Wotakoi), Okita Souji, Tiamat, Shuten Doji, Ibuki Doji (Fate Grand Order), Shinra Kishitani (Durarara!), Hibiki Tachibana (Senki Zesshou Symphogear), Fiona (Xenoblade Chronicles 3), Relm (Final Fantasy VI), Kiriya Ubuyashiki (Demon Slayer: Kimetsu no Yaiba), Tatsumaki (One Punch Man), Kurona Yasuhisa (Tokyo Ghoul), Taylor Bartlett (Violet Evergarden), Diane (Seven Deadly Sins), Lumine (Genshin Impact), Tsuyu Asui (My Hero Academia), Lucy (Cyberpunk: Edgerunners)"
207,Yūki Kana,"Gitano, Myrrh","Noelle Silva, Acier Silva (Black Clover), Super Creek (Uma Musume: Pretty Derby), Ciella (Dragalia Lost), Arisa (Shadowverse), Alspia (Granblue Fantasy), Nino, Katarina (Fire Emblem Heroes), USS Yorktown, USS Concord, IJN Yukikaze (Azur Lane), Rinslet Laurenfrost (Blade Dance of the Elementalers)"
208,Yukino Satsuki,Justice Knight,"Kagome Higurashi (Inuyasha), Nenene Sumiregawa (R.O.D), Yoruichi Shihouin (Bleach), Mion Sonozaki, Shion Sonozaki (Higurashi no Naku Koro Ni), Erica Russell (Legend of Heroes: Trails in the Sky 3rd), Arietta the Beast (Tales of the Abyss), Tae Shimura (Gintama), Momiji Ooka (Detective Conan), Kaname Chidori (Full Metal Panic!), Pururu (Sgt. Frog), Misae Sagara (Clannad), FX-05 and VP1915 (Girls' Frontline)"
209,Yuzuki Ryoka,Touch,"Ino Yamanaka (Naruto), Satsuki Kiryuin (Kill la Kill), Metera (Granblue Fantasy), Reala (Tales of Destiny 2), Financier Cookie (Cookie Run: Kingdom), Arcueid Brunestud (Tsukihime), Cassandra (Dragalia Lost), Lisa Momioka (To Love-Ru), Airachnid (Transformers: Prime), Akio Fudou (Trinity Seven), Shizuka Hiratsuka (My Teen Romantic Comedy SNAFU), Shamal (Magical Lyrical Girl Nanoka A's), Sol (Neural Cloud), Candace (Genshin Impact)"
